Checking Soft Delete Status for Subscription: connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatusetfirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatusetnsgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatusetsdwan01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatuswsfirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatuswsnsgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatuswssdwan01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatasetfirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatasetnsgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatasetsdwan01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatassefirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatassensgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatassesdwan01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatjpetfirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatjpetnsgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatjpetsdwan01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatauetfirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatauetnsgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatauetsdwan01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatausefirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatausensgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatausesdwan01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatukstfirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatukstnsgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatukstpanoramaconf01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatukwsfirewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatukwsnsgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatusw3firewall01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatusw3nsgflowlogs01, Soft Delete Status: true
Subscription Name: connectivity, Subscription ID: e268d8d7-a6ed-420c-9764-e453da4cb06c, Storage Account: stplatusw3sdwan01, Soft Delete Status: true
Checking Soft Delete Status for Subscription: management (228915b9-46d9-4421-8ab5-157d9277b522)
Subscription Name: management, Subscription ID: 228915b9-46d9-4421-8ab5-157d9277b522, Storage Account: stdevlukstsiemcol02, Soft Delete Status: false
Subscription Name: management, Subscription ID: 228915b9-46d9-4421-8ab5-157d9277b522, Storage Account: stplatukstadoagentvm01, Soft Delete Status: true
Subscription Name: management, Subscription ID: 228915b9-46d9-4421-8ab5-157d9277b522, Storage Account: stplatukstansible01, Soft Delete Status: true
Subscription Name: management, Subscription ID: 228915b9-46d9-4421-8ab5-157d9277b522, Storage Account: stplatukstavs01, Soft Delete Status: true
Subscription Name: management, Subscription ID: 228915b9-46d9-4421-8ab5-157d9277b522, Storage Account: stplatukstbmc01, Soft Delete Status: true
