iantibble@LNLP8561:/mnt/c/Users/TIBBLEI/OneDrive - Allen & Overy LLP/Documents/azure platform audit findings/1.5/5.1.3$ ./blob-public-access-5-1-3.bash
Public access is disabled for stplatusetfirewall01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatusetnsgflowlogs01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatusetsdwan01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatuswsfirewall01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatuswsnsgflowlogs01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatuswssdwan01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatasetfirewall01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatasetnsgflowlogs01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatasetsdwan01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatassefirewall01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatassensgflowlogs01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatassesdwan01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatjpetfirewall01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatjpetnsgflowlogs01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatjpetsdwan01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatauetfirewall01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Public access is disabled for stplatauetnsgflowlogs01 in subscription connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
